,SMILES,MVS-A,Score,MVS-A percentile,Score percentile,Confirmed
215585,Cc1ccccc1Cn1c2ccccc2c2cnn(CC(=O)NCCCN3CCOCC3)c(=O)c21,38.6049684372025,0.0,99.98089761450728,0,0
77639,CCOCCCNC(=O)c1cn(CC)c2ccc(S(=O)(=O)N(C)C3CCCCC3)cc2c1=O,38.42701864420006,0.0,99.98056826303326,0,0
117760,COCCNC(=O)c1cccc(OC2CCN(C(C)COc3ccccc3)CC2)c1,38.41021809593352,0.0,99.98023891155924,0,0
53367,CCCOc1ccc(C(=O)NNC(=S)NC(=O)c2cc(-c3ccc(Cl)cc3)nc3ccccc23)cc1,38.26034189756217,0.0,99.97990956008525,0,0
96917,CN(C)/N=C/c1cc(Cl)cc([N+](=O)[O-])c1O,38.13758016008296,0.0,99.97958020861122,0,0
266136,O=C(NCC(c1ccco1)N1CCCCC1)c1cccc(S(=O)(=O)Nc2ccccc2Cl)c1,38.04266382403153,0.0,99.97925085713722,0,0
36367,CC1CCCCC1NC(=O)c1ccc(-n2cncn2)c([N+](=O)[O-])c1,38.03184742836147,0.0,99.9789215056632,0,0
239574,NC(=O)CCCn1c(C(=O)c2ccc(Cl)cc2)c2ccc(C(F)(F)F)cc2[n+]1[O-],37.506748964811415,0.0,99.9785921541892,0,0
265276,O=C(NC1CCCCC1)C(c1ccc2ncccc2c1)N(Cc1ccco1)C(=O)c1ccc2c(c1)OCCO2,37.28939493805643,0.0,99.97826280271518,0,0
36378,CC1CCCCC1NC(=O)c1cn(C)c2ccc(S(=O)(=O)N3CCCC3)cc2c1=O,37.23051835295127,0.0,99.97793345124116,0,0
47275,CCCCCc1cc(=O)oc2c(C(CCN3CCCCC3)c3ccc4c(c3)OCO4)c(OC)cc(OC)c12,37.21620629852004,0.0,99.97760409976716,0,0
169434,CS/C(N)=N/N=C/c1cc(Br)cc(Br)c1O,37.08288308984518,0.0,99.97727474829314,0,0
120772,COc1cc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccccc3)C2=O)cc(OC)c1OC,37.05580313412886,0.0,99.97694539681912,0,0
120563,COc1cc(/C=C2/C(=N)N3C(=NC2=O)SN=C3S(=O)(=O)C(C)C)ccc1OS(=O)(=O)c1ccccc1,36.83465432352175,0.0,99.97661604534512,0,0
41386,CCC(C)CNC(=O)c1cccc(OC2CCN(CC(C)(C)C)CC2)c1,36.82046585850468,0.0,99.9762866938711,0,0
193249,Cc1ccc(C)c(Cn2c3ccccc3c3cnn(CC(=O)NCCCN4CCCCC4)c(=O)c32)c1,36.65574020322338,0.0,99.97595734239708,0,0
162674,COc1ccccc1/C=C1\SC(=S)N(NS(=O)(=O)c2ccccc2)C1=O,36.62777549374993,0.0,99.97562799092309,0,0
47894,CCCCN(CC)CCCNC(=O)c1cn(C)c2ccc(S(=O)(=O)N(C)C3CCCCC3)cc2c1=O,36.52761400783958,0.0,99.97529863944906,0,0
302075,c1ccc(-n2c(SCc3nc(-c4cccs4)no3)nnc2-c2ccco2)cc1,36.4274594718533,0.0,99.97496928797504,0,0
36204,CC1CCCC(NC(=O)c2ccc3snnc3c2)C1C,36.24751326231387,0.0,99.97463993650103,0,0
245367,Nn1cnnc1N/N=C/c1cc(Br)cc(Br)c1O,36.13111409186069,0.0,99.97431058502704,0,0
77681,CCOCCCNC(=S)Nc1ccc2nc(N3CCN(CC)CC3)cc(C)c2c1,35.9265391051703,0.0,99.973981233553,0,0
243432,Nc1ccc(CCNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1,35.916930707551295,0.0,99.973651882079,0,0
36202,CC1CCCC(NC(=O)c2ccc3c(c2)NC(=O)CS3)C1C,35.848146860184535,0.0,99.973322530605,0,0
58511,CCN(CC)CCCNC(=O)c1cn(C)c2ccc(S(=O)(=O)N(C)C3CCCCC3)cc2c1=O,35.6116300525229,0.0,99.97299317913097,0,0
120770,COc1cc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)cc(OC)c1OC,35.412887475669045,0.0,99.97266382765696,0,0
259963,O=C(C[n+]1cc(Br)cc(Br)c1)c1cccc([N+](=O)[O-])c1,35.39065309109999,0.0,99.97233447618297,0,0
106358,CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,35.38054658456704,0.0,99.97200512470891,0,0
294132,O=[N+]([O-])c1cc(Cl)cc(/C=N\Nc2ccccn2)c1O,35.315972317739806,0.0,99.97167577323492,0,0
165227,COc1ccccc1N1CCN(C(=O)C2CCCN(c3ncnc4c3nc3n4CCCCC3)C2)CC1,35.24437073231326,0.0,99.97134642176091,0,0
162673,COc1ccccc1/C=C1\SC(=S)N(NS(=O)(=O)c2ccc(C)cc2)C1=O,35.15664644948784,0.0,99.9710170702869,0,0
95006,CCn1cc(C(=O)NCCCN2CCC(C)CC2)c(=O)c2cc(S(=O)(=O)N3CCCC3)ccc21,35.13357578661935,0.0,99.97068771881288,0,0
131728,COc1ccc(/C=C2\SC(=S)N(CCCC(=O)N3CCN(C)CC3)C2=O)cc1,35.052895126924895,0.0,99.97035836733887,0,0
24683,CC(C)N1CCN(C(=O)c2ccc(OC3CCN(CCc4ccccc4)CC3)cc2)CC1,35.03681327547038,0.0,99.97002901586488,0,0
270985,O=C(NN1C(=O)/C(=C/C=C/c2ccco2)SC1=S)c1ccncc1,35.006653203169286,0.0,99.96969966439084,0,0
6493,C=CCS/C(N)=N\N=C\c1cc(Br)cc([N+](=O)[O-])c1O,34.94967495043517,0.0,99.96937031291684,0,0
157397,COc1cccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)c1OC,34.87117706608636,0.0,99.96904096144284,0,0
135785,COc1ccc(C(CC(=O)N2CCCCC2)c2c(OC)cc(OC)c3c(-c4ccccc4)cc(=O)oc23)cc1,34.725730391222505,0.0,99.9687116099688,0,0
77360,CCOCCCN(C)C1CCN(C(=O)c2oc3ccccc3c2NC(=O)Cc2ccc(F)cc2)CC1,34.699124137686645,0.0,99.9683822584948,0,0
131745,COc1ccc(/C=C2\SC(=S)N(NS(=O)(=O)c3ccccc3)C2=O)c(OC)c1,34.69912222440322,0.0,99.9680529070208,0,0
43642,CCC1=NN2C(=N)/C(=C/c3ccc(OS(=O)(=O)c4ccccc4)cc3)C(=O)N=C2S1,34.67416032833458,0.0,99.96772355554675,0,0
294130,O=[N+]([O-])c1cc(Cl)cc(/C=N/Nc2nc3ccccc3s2)c1O,34.651948394164606,0.0,99.96739420407276,0,0
